continent,location,total_deaths,date,total_deaths_per_million,stringency_index,population_density,median_age,gdp_per_capita,aged_65_older,life_expectancy,human_development_index,total_cases,stringency_index,Entity,Code,"Life expectancy at birth, total (years)","Total population (Gapminder, HYDE & UN)",log_life,log_death,log_life_curr
North America,Haiti,231.0,2020-10-20,20.259,,398.44800000000004,24.3,1653.1729999999998,4.8,64.0,0.498,8976.0,,Haiti,HTI,44.83390909090909,3137492.117647059,3.825024190343086,5.44673737166631,4.174387269895637
Europe,Hungary,1211.0,2020-10-20,125.35799999999999,,108.04299999999999,43.4,26777.561,18.577,76.88,0.838,48757.0,,Hungary,HUN,69.00640798226165,9285799.843137255,4.248586780463328,7.10002716662926,4.3551691805039985
Asia,Indonesia,12617.0,2020-10-20,46.128,,145.725,29.3,11188.743999999999,5.319,71.72,0.6940000000000001,365240.0,,Indonesia,IDN,51.64227272727273,70495165.7254902,3.9635194609952484,9.442879644930755,4.286616449869223
Europe,Isle of Man,24.0,2020-10-20,282.247,,147.872,,,,81.4,,348.0,,Isle of Man,IMN,,51476.19047619047,,3.2188758248682006,4.411585436915426
Asia,India,115197.0,2020-10-20,83.476,,450.41900000000004,28.2,6426.674,5.989,69.66,0.64,7597063.0,,India,IND,44.395,368343762.8235294,3.8154019668237207,11.654407665982111,4.257879641930999
Europe,Ireland,1852.0,2020-10-20,375.066,,69.874,38.7,67335.293,13.927999999999999,82.3,0.938,50993.0,,Ireland,IRL,70.48212860310421,2906315.294117647,4.2694474688504185,7.52456122628536,4.422448549172797
Asia,Iran,30712.0,2020-10-20,365.65,,49.831,32.4,19082.62,5.44,76.68,0.7979999999999999,534631.0,,Iran,IRN,47.795818181818184,17486887.0,3.887644616191718,10.332441296713197,4.35259782398307
Asia,Iraq,10317.0,2020-10-20,256.498,,88.125,20.0,15663.986,3.1860000000000004,70.6,0.685,430678.0,,Iraq,IRQ,53.541727272727265,5540883.9215686275,3.9989660467496138,9.241645221804594,4.2710950739666
Europe,Iceland,11.0,2020-10-20,32.234,,3.404,37.3,46482.958,14.431,82.99,0.935,4101.0,,Iceland,ISL,73.62742793791577,147676.70588235295,4.31250810636496,2.4849066497880004,4.430697744137536
Asia,Israel,2263.0,2020-10-20,261.45099999999996,,402.606,30.6,33132.32,11.732999999999999,82.97,0.903,304876.0,,Israel,ISR,71.59351916376309,1285142.843137255,4.284875650129389,7.724888439323074,4.430459592195472
Europe,Italy,36616.0,2020-10-20,605.605,,205.859,47.9,35220.084,23.021,83.51,0.88,423578.0,,Italy,ITA,70.25443458980045,45397326.50980392,4.266257057068789,10.508267892425925,4.436869870556391
North America,Jamaica,173.0,2020-10-20,58.423,,266.879,31.4,8193.571,9.684,74.47,0.732,8321.0,,Jamaica,JAM,66.61090909090909,1322062.2156862745,4.213769347113492,5.159055299214529,4.323735226296777
Asia,Jordan,380.0,2020-10-20,37.243,,109.285,23.2,8337.49,3.81,74.53,0.735,38937.0,,Jordan,JOR,56.480636363636364,647149.7647058824,4.051448132194015,5.942799375126701,4.324529928325356
Asia,Japan,1676.0,2020-10-20,13.251,,347.778,48.2,39002.223,27.049,84.63,0.909,93480.0,,Japan,JPN,70.20243902439026,78833591.21568628,4.265527073791746,7.424761761823209,4.450035689038101
Asia,Kazakhstan,2155.0,2020-10-20,114.77,,6.681,30.6,24055.588,6.9910000000000005,73.6,0.8,145603.0,,Kazakhstan,KAZ,60.39866075388029,7489369.137254902,4.117388023089162,7.6760099320288875,4.312140507209715
Africa,Kenya,839.0,2020-10-20,15.603,,87.324,20.0,2993.028,2.6860000000000004,66.7,0.59,45076.0,,Kenya,KEN,49.35427272727273,5622712.725490196,3.919083476085923,6.733401891837359,4.215086179918229
Asia,Kyrgyzstan,1113.0,2020-10-20,170.59599999999998,,32.333,26.3,3393.474,4.489,71.45,0.672,52910.0,,Kyrgyzstan,KGZ,58.26407317073169,1816336.8823529412,4.082003273680277,7.01571242048723,4.282896668766692
Asia,Cambodia,,2020-10-20,,,90.67200000000001,25.6,3645.07,4.412,69.82,0.5820000000000001,285.0,,Cambodia,KHM,41.917181818181824,4610417.666666667,3.759272254334144,,4.2601414466837575
North America,Saint Kitts and Nevis,,2020-10-20,,,212.865,,24654.385,,76.23,0.778,19.0,,Saint Kitts and Nevis,KNA,,44124.686274509804,,,4.346787982581173
Asia,South Korea,447.0,2020-10-20,8.719,,527.967,43.4,35938.373999999996,13.914000000000001,83.03,0.903,25333.0,,South Korea,KOR,57.03641463414633,19236755.60784314,4.061070652058035,6.104793232414985,4.431173877940127
Asia,Kuwait,710.0,2020-10-20,166.25400000000002,,232.128,33.7,65530.537000000004,2.345,75.49,0.8029999999999999,116832.0,,Kuwait,KWT,63.38736363636363,216504.9411764706,4.164917397030616,6.566672429803241,4.337160013333775
Asia,Laos,,2020-10-20,,,29.715,24.4,6397.36,4.029,67.92,0.601,23.0,,Laos,LAO,44.733,1790812.0392156863,3.8228201379673754,,4.232946411659729
Asia,Lebanon,526.0,2020-10-20,77.065,,594.561,31.1,13367.565,8.514,78.93,0.757,62944.0,,Lebanon,LBN,64.69509090909091,1317258.1764705882,4.185024202898155,6.267200548541362,4.381151251637927
Africa,Liberia,82.0,2020-10-20,16.213,,49.126999999999995,19.2,752.788,3.057,64.1,0.435,1381.0,,Liberia,LBR,36.699909090909095,948950.2352941176,3.629657683069336,4.418840607796598,4.175924549214524
